year,child,contribution_pp,share_of_parent
2021,CP05,-0.04577448934785767,-0.011811521858346108
2021,CP06,0.6607329563604455,0.1704936934910078
2021,CP07,0.672285565576809,0.17347469662668547
2021,CP08,0.016457018789348975,0.004246523334786377
2021,CP09,0.1831524508311307,0.04726014876893013
2021,CP10,0.051605287395739566,0.013316084761730677
2021,CP11,1.3027746629038495,0.3361643488898577
2021,CP12,0.3408019718827401,0.08793959250249585
2022,CP01,0.07274168332933371,0.035431772079932
2022,CP02,0.04065061186054893,0.019800520807743353
2022,CP03,0.11974710548073772,0.058327659664071975
2022,CP04,0.06354810290855034,0.030953667763965995
2022,CP05,0.06461444295735604,0.03147307171283984
2022,CP06,0.13016553595758185,0.06340237662401478
2022,CP07,0.18740205857725561,0.09128173452843033
2022,CP08,0.052999982425770524,0.025815780053484547
2022,CP09,0.1160437353112372,0.05652378378757783
2022,CP10,0.03701929169434601,0.01803173979265956
2022,CP11,0.9434227431797712,0.45953211530767657
2022,CP12,0.22465191028215417,0.10942577787760314
